id,instructions,instructionsLastChangedAt,gameID,gameIDLastChangedAt,ended,endedLastChangedAt,stageIndex,stageIndexLastChangedAt,name,nameLastChangedAt,index,indexLastChangedAt,start,startLastChangedAt,batchID,batchIDLastChangedAt,label,labelLastChangedAt,guesserOrder,guesserOrderLastChangedAt,decision,decisionLastChangedAt,target,targetLastChangedAt,verb,verbLastChangedAt,directorOrder,directorOrderLastChangedAt,images,imagesLastChangedAt
01HN6DQBQWSKJHPXSMRB24GYG0,,2024-01-27T21:38:02.108905091Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:02.108905091Z,true,2024-01-27T21:41:08.078954982Z,1,2024-01-27T21:38:03.508188273Z,Round 41,2024-01-27T21:38:02.108905091Z,42,2024-01-27T21:38:02.108905091Z,true,2024-01-27T21:41:04.064107242Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:02.108905091Z,swimmer,2024-01-27T21:38:02.108905091Z,,,,,,,,,,,,
01HN6DQBR2ZHFKQXSG6CDBKGWW,,2024-01-27T21:38:02.114953161Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:02.114953161Z,true,2024-01-27T21:40:59.211606736Z,1,2024-01-27T21:38:03.508188273Z,Round 39,2024-01-27T21:38:02.114953161Z,40,2024-01-27T21:38:02.114953161Z,true,2024-01-27T21:40:54.190593466Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:02.114953161Z,soldier,2024-01-27T21:38:02.114953161Z,,,,,,,,,,,,
01HN6DQBR5XE3AMMAF278BHWXF,,2024-01-27T21:38:02.117790508Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:02.117790508Z,true,2024-01-27T21:40:32.055056497Z,1,2024-01-27T21:38:03.536986215Z,Round 32,2024-01-27T21:38:02.117790508Z,33,2024-01-27T21:38:02.117790508Z,true,2024-01-27T21:40:28.442378971Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:02.117790508Z,clown,2024-01-27T21:38:02.117790508Z,,,,,,,,,,,,
01HN6DQBRAXN9VN6DQ5Q1ZA8ZG,,2024-01-27T21:38:02.122958485Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:02.122958485Z,true,2024-01-27T21:41:28.324550868Z,1,2024-01-27T21:38:03.536986215Z,Round 44,2024-01-27T21:38:02.122958485Z,45,2024-01-27T21:38:02.122958485Z,true,2024-01-27T21:41:20.841723968Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:02.122958485Z,ballerina,2024-01-27T21:38:02.122958485Z,,,,,,,,,,,,
01HN6DQBRJ025487JCGW752CF5,,2024-01-27T21:38:02.130566075Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:02.130566075Z,true,2024-01-27T21:40:36.714908578Z,1,2024-01-27T21:38:03.536986215Z,Round 33,2024-01-27T21:38:02.130566075Z,34,2024-01-27T21:38:02.130566075Z,true,2024-01-27T21:40:32.074897763Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:02.130566075Z,boxer,2024-01-27T21:38:02.130566075Z,,,,,,,,,,,,
01HN6DQBRN9MEQVYTX2SBMH5N8,,2024-01-27T21:38:02.133157524Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:02.133157524Z,true,2024-01-27T21:40:39.404642151Z,1,2024-01-27T21:38:03.552075513Z,Round 34,2024-01-27T21:38:02.133157524Z,35,2024-01-27T21:38:02.133157524Z,true,2024-01-27T21:40:36.732617809Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:02.133157524Z,cake,2024-01-27T21:38:02.133157524Z,,,,,,,,,,,,
01HN6DQBRYSGJZR472YB66GVGW,,2024-01-27T21:38:02.142895746Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:02.142895746Z,true,2024-01-27T21:40:43.065882821Z,1,2024-01-27T21:38:03.587618675Z,Round 35,2024-01-27T21:38:02.142895746Z,36,2024-01-27T21:38:02.142895746Z,true,2024-01-27T21:40:39.420806515Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:02.142895746Z,jug,2024-01-27T21:38:02.142895746Z,,,,,,,,,,,,
01HN6DQBS0BGW6694KT04NN8NA,,2024-01-27T21:38:02.144935831Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:02.144935831Z,true,2024-01-27T21:40:46.454863822Z,1,2024-01-27T21:38:03.567023274Z,Round 36,2024-01-27T21:38:02.144935831Z,37,2024-01-27T21:38:02.144935831Z,true,2024-01-27T21:40:43.119909322Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:02.144935831Z,sailor,2024-01-27T21:38:02.144935831Z,,,,,,,,,,,,
01HN6DQBS3GP5B153X564NGTQY,,2024-01-27T21:38:02.147578647Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:02.147578647Z,true,2024-01-27T21:40:50.921428637Z,1,2024-01-27T21:38:03.587618675Z,Round 37,2024-01-27T21:38:02.147578647Z,38,2024-01-27T21:38:02.147578647Z,true,2024-01-27T21:40:46.480303017Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:02.147578647Z,cowboy,2024-01-27T21:38:02.147578647Z,,,,,,,,,,,,
01HN6DQBS8D622TH2NTXCHZC8X,,2024-01-27T21:38:02.15219966Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:02.15219966Z,true,2024-01-27T21:41:16.172277363Z,1,2024-01-27T21:38:03.593920979Z,Round 42,2024-01-27T21:38:02.15219966Z,43,2024-01-27T21:38:02.15219966Z,true,2024-01-27T21:41:08.099517469Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:02.15219966Z,palette,2024-01-27T21:38:02.15219966Z,,,,,,,,,,,,
