id,index,indexLastChangedAt,ended,endedLastChangedAt,roundID,roundIDLastChangedAt,timerID,timerIDLastChangedAt,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,started,startedLastChangedAt,duration,durationLastChangedAt,start,startLastChangedAt,name,nameLastChangedAt
01HN6DQD2RBZCRX1W2317AKE9S,0,2024-01-27T21:38:03.480821604Z,true,2024-01-27T21:40:59.19257387Z,01HN6DQBR2ZHFKQXSG6CDBKGWW,2024-01-27T21:38:03.480821604Z,01HN6DQC4P59YC8YCKN8GJG4F5,2024-01-27T21:38:03.480821604Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:03.480821604Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:03.480821604Z,true,2024-01-27T21:40:54.303948099Z,10000,2024-01-27T21:38:03.480821604Z,true,2024-01-27T21:40:54.251397673Z,recall,2024-01-27T21:38:03.480821604Z
01HN6DQD33J61Z37FQF6ECV16F,0,2024-01-27T21:38:03.491576563Z,true,2024-01-27T21:41:03.938842749Z,01HN6DQBQTZ8ED05FG5TNFQWZ0,2024-01-27T21:38:03.491576563Z,01HN6DQC56CDD5MQCSV4AS4TR0,2024-01-27T21:38:03.491576563Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:03.491576563Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:03.491576563Z,true,2024-01-27T21:40:59.358680146Z,10000,2024-01-27T21:38:03.491576563Z,true,2024-01-27T21:40:59.307846444Z,recall,2024-01-27T21:38:03.491576563Z
01HN6DQD3RR5Z2YMWT92PKV613,0,2024-01-27T21:38:03.51239829Z,true,2024-01-27T21:40:32.032826422Z,01HN6DQBR5XE3AMMAF278BHWXF,2024-01-27T21:38:03.51239829Z,01HN6DQC5PQXFST3EM0XCWG50W,2024-01-27T21:38:03.51239829Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:03.51239829Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:03.51239829Z,true,2024-01-27T21:40:28.544975666Z,10000,2024-01-27T21:38:03.51239829Z,true,2024-01-27T21:40:28.493344302Z,recall,2024-01-27T21:38:03.51239829Z
01HN6DQD4CTVAGKCAKAX97PNYV,0,2024-01-27T21:38:03.532399543Z,true,2024-01-27T21:41:28.301233084Z,01HN6DQBRAXN9VN6DQ5Q1ZA8ZG,2024-01-27T21:38:03.532399543Z,01HN6DQC5ZS4ZSSCC4HKKD34ND,2024-01-27T21:38:03.532399543Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:03.532399543Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:03.532399543Z,true,2024-01-27T21:41:20.952222081Z,10000,2024-01-27T21:38:03.532399543Z,true,2024-01-27T21:41:20.90248458Z,recall,2024-01-27T21:38:03.532399543Z
01HN6DQD4DKRHKJV1HJQN1EF9S,0,2024-01-27T21:38:03.533746636Z,true,2024-01-27T21:40:36.689206715Z,01HN6DQBRJ025487JCGW752CF5,2024-01-27T21:38:03.533746636Z,01HN6DQC68YGN8MT4J47T3J2W1,2024-01-27T21:38:03.533746636Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:03.533746636Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:03.533746636Z,true,2024-01-27T21:40:32.181957169Z,10000,2024-01-27T21:38:03.533746636Z,true,2024-01-27T21:40:32.12776829Z,recall,2024-01-27T21:38:03.533746636Z
01HN6DQD4QE9ENK0XH8DV2F0YB,0,2024-01-27T21:38:03.543518557Z,true,2024-01-27T21:40:39.388411321Z,01HN6DQBRN9MEQVYTX2SBMH5N8,2024-01-27T21:38:03.543518557Z,01HN6DQC6RPGGZFSCFNSKZP6J0,2024-01-27T21:38:03.543518557Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:03.543518557Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:03.543518557Z,true,2024-01-27T21:40:36.815977134Z,10000,2024-01-27T21:38:03.543518557Z,true,2024-01-27T21:40:36.769100017Z,recall,2024-01-27T21:38:03.543518557Z
01HN6DQD54GCVY7B5Q1QCT8N17,0,2024-01-27T21:38:03.55659174Z,true,2024-01-27T21:40:46.428441993Z,01HN6DQBS0BGW6694KT04NN8NA,2024-01-27T21:38:03.55659174Z,01HN6DQC751549J8F16MP0FYT7,2024-01-27T21:38:03.55659174Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:03.55659174Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:03.55659174Z,true,2024-01-27T21:40:43.214783501Z,10000,2024-01-27T21:38:03.55659174Z,true,2024-01-27T21:40:43.169041275Z,recall,2024-01-27T21:38:03.55659174Z
01HN6DQD5J2NFN5B3FHXB03PN7,0,2024-01-27T21:38:03.570552033Z,true,2024-01-27T21:40:43.042034763Z,01HN6DQBRYSGJZR472YB66GVGW,2024-01-27T21:38:03.570552033Z,01HN6DQC7KNQ64RE6GHXCNZGM8,2024-01-27T21:38:03.570552033Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:03.570552033Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:03.570552033Z,true,2024-01-27T21:40:39.498625798Z,10000,2024-01-27T21:38:03.570552033Z,true,2024-01-27T21:40:39.46060852Z,recall,2024-01-27T21:38:03.570552033Z
01HN6DQD5WCKX7AHAMQEZ0EVGB,0,2024-01-27T21:38:03.580456502Z,true,2024-01-27T21:40:50.9049178Z,01HN6DQBS3GP5B153X564NGTQY,2024-01-27T21:38:03.580456502Z,01HN6DQC7YC2Z9X5KGEKVK8W31,2024-01-27T21:38:03.580456502Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:03.580456502Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:03.580456502Z,true,2024-01-27T21:40:46.579823933Z,10000,2024-01-27T21:38:03.580456502Z,true,2024-01-27T21:40:46.53498479Z,recall,2024-01-27T21:38:03.580456502Z
01HN6DQD66WN00RND4DQ6F2V2X,0,2024-01-27T21:38:03.590659712Z,true,2024-01-27T21:41:16.158263249Z,01HN6DQBS8D622TH2NTXCHZC8X,2024-01-27T21:38:03.590659712Z,01HN6DQC8PV63WXZJSPX6DQ3FK,2024-01-27T21:38:03.590659712Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:03.590659712Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:03.590659712Z,true,2024-01-27T21:41:08.215772535Z,10000,2024-01-27T21:38:03.590659712Z,true,2024-01-27T21:41:08.165397602Z,recall,2024-01-27T21:38:03.590659712Z
