prior	cost	informativity	prob
0.1	0.25	high	0.163751409180731
0.1	0.3	high	0.162111039123588
0.1	0.35	high	0.160541743274629
0.1	0.4	high	0.159040935823282
0.1	0.45	high	0.157606072442018
0.1	0.5	high	0.156234655917559
0.1	0.55	high	0.154924240905512
0.1	0.6	high	0.153672437882329
0.1	0.65	high	0.152476916366295
0.1	0.7	high	0.151335407476458
0.1	0.75	high	0.150245705895097
0.15	0	high	0.238982444159085
0.15	0.05	high	0.236393894024659
0.15	0.1	high	0.233908063522077
0.15	0.15	high	0.231522106046781
0.15	0.2	high	0.229233127193267
0.15	0.25	high	0.227038201088081
0.15	0.3	high	0.224934385223757
0.15	0.35	high	0.222918733842148
0.15	0.4	high	0.220988309926561
0.15	0.45	high	0.219140195870375
0.15	0.5	high	0.217371502895739
0.15	0.55	high	0.215679379299774
0.15	0.6	high	0.214061017607812
0.15	0.65	high	0.212513660713769
0.15	0.7	high	0.211034607087106
0.15	0.75	high	0.209621215124185
0.2	0	high	0.295132744038236
0.2	0.05	high	0.292169496996162
0.2	0.1	high	0.289319373250612
0.2	0.15	high	0.28657963454876
0.2	0.2	high	0.28394744902485
0.2	0.25	high	0.281419911312521
0.2	0.3	high	0.278994061093929
0.2	0.35	high	0.276666900100704
0.2	0.4	high	0.274435407598979
0.2	0.45	high	0.272296554404801
0.2	0.5	high	0.270247315487313
0.2	0.55	high	0.268284681225575
0.2	0.6	high	0.266405667391013
0.2	0.65	high	0.264607323931568
0.2	0.7	high	0.262886742635946
0.2	0.75	high	0.261241063757207
0.25	0	high	0.343566499135432
0.25	0.05	high	0.340351769892399
0.25	0.1	high	0.337255573757096
0.25	0.15	high	0.334275411844678
0.25	0.2	high	0.33140865102055
0.25	0.25	high	0.32865254651727
0.25	0.3	high	0.326004263047054
0.25	0.35	high	0.32346089438739
0.25	0.4	high	0.321019481439695
0.25	0.45	high	0.318677028779825
0.25	0.5	high	0.316430519734983
0.25	0.55	high	0.31427693003427
0.25	0.6	high	0.312213240090135
0.25	0.65	high	0.310236445975552
0.25	0.7	high	0.308343569167159
0.25	0.75	high	0.306531665128171
0.3	0	high	0.385772123383534
0.3	0.05	high	0.3823925290591
0.3	0.1	high	0.379133697942468
0.3	0.15	high	0.375993422951981
0.3	0.2	high	0.372969328798809
0.3	0.25	high	0.370058896107316
0.3	0.3	high	0.367259484160319
0.3	0.35	high	0.364568352210593
0.3	0.4	high	0.361982679326148
0.3	0.45	high	0.359499582759512
0.3	0.5	high	0.357116134850671
0.3	0.55	high	0.354829378489589
0.3	0.6	high	0.352636341177642
0.3	0.65	high	0.350534047737934
0.3	0.7	high	0.348519531732799
0.3	0.75	high	0.346589845652905
0.35	0	high	0.422878363259526
0.35	0.05	high	0.419395656288208
0.35	0.1	high	0.41603390229198
0.35	0.15	high	0.412791197555113
0.35	0.2	high	0.40966544273072
0.35	0.25	high	0.406654367722438
0.35	0.3	high	0.403755555355894
0.35	0.35	high	0.400966463748916
0.35	0.4	high	0.398284447318146
0.35	0.45	high	0.395706776385168
0.35	0.5	high	0.393230655367509
0.35	0.55	high	0.390853239558962
0.35	0.6	high	0.388571650519805
0.35	0.65	high	0.386382990110818
0.35	0.7	high	0.384284353215765
0.35	0.75	high	0.382272839205468
0.4	0	high	0.455756748328374
0.4	0.05	high	0.4522154371781
0.4	0.1	high	0.44879395943797
0.4	0.15	high	0.445490705515903
0.4	0.2	high	0.442303848557831
0.4	0.25	high	0.439231369558275
0.4	0.3	high	0.436271081439275
0.4	0.35	high	0.433420651978806
0.4	0.4	high	0.430677625500082
0.4	0.45	high	0.428039443260436
0.4	0.5	high	0.425503462502712
0.4	0.55	high	0.42306697415335
0.4	0.6	high	0.420727219169587
0.4	0.65	high	0.418481403553672
0.4	0.7	high	0.416326712064835
0.4	0.75	high	0.414260320670144
0.45	0	high	0.485090909901856
0.45	0.05	high	0.481523331350592
0.45	0.1	high	0.478073634454026
0.45	0.15	high	0.474740484531527
0.45	0.2	high	0.471522312917047
0.45	0.25	high	0.4684173419257
0.45	0.3	high	0.465423608967719
0.45	0.35	high	0.462538989667731
0.45	0.4	high	0.459761219878316
0.45	0.45	high	0.457087916505244
