id,batchID,batchIDLastChangedAt,start,startLastChangedAt,index,indexLastChangedAt,ended,endedLastChangedAt,instructions,instructionsLastChangedAt,name,nameLastChangedAt,gameID,gameIDLastChangedAt,stageIndex,stageIndexLastChangedAt,label,labelLastChangedAt,target,targetLastChangedAt,guesserOrder,guesserOrderLastChangedAt,directorOrder,directorOrderLastChangedAt,images,imagesLastChangedAt,verb,verbLastChangedAt,decision,decisionLastChangedAt
01HN18WNRWAFJ49PSRGJE95SAH,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.180236748Z,true,2024-01-25T21:43:01.934268891Z,31,2024-01-25T21:37:21.180236748Z,true,2024-01-25T21:43:08.458133831Z,,2024-01-25T21:37:21.180236748Z,Round 30,2024-01-25T21:37:21.180236748Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.180236748Z,1,2024-01-25T21:37:21.94156693Z,waitress,2024-01-25T21:37:21.180236748Z,,,,,,,,,,,,
01HN18WNRYWK70WKK4S4JV98AS,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.182834325Z,true,2024-01-25T21:42:55.431614296Z,30,2024-01-25T21:37:21.182834325Z,true,2024-01-25T21:43:01.914382915Z,,2024-01-25T21:37:21.182834325Z,Round 29,2024-01-25T21:37:21.182834325Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.182834325Z,1,2024-01-25T21:37:21.963834712Z,ball,2024-01-25T21:37:21.182834325Z,,,,,,,,,,,,
01HN18WNS16XZ47R86BN7QA2Q4,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.18594729Z,true,2024-01-25T21:43:13.466376754Z,33,2024-01-25T21:37:21.18594729Z,true,2024-01-25T21:43:18.505620145Z,,2024-01-25T21:37:21.18594729Z,Round 32,2024-01-25T21:37:21.18594729Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.18594729Z,1,2024-01-25T21:37:21.94156693Z,boxer,2024-01-25T21:37:21.18594729Z,,,,,,,,,,,,
01HN18WNS5EDCB1F9RTXFRTMRV,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.189489529Z,true,2024-01-25T21:43:08.474418797Z,32,2024-01-25T21:37:21.189489529Z,true,2024-01-25T21:43:13.439719794Z,,2024-01-25T21:37:21.189489529Z,Round 31,2024-01-25T21:37:21.189489529Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.189489529Z,1,2024-01-25T21:37:21.975969496Z,pirate,2024-01-25T21:37:21.189489529Z,,,,,,,,,,,,
01HN18WNS9E1QVRM887KSXJTZT,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.193071273Z,true,2024-01-25T21:43:27.1121784Z,35,2024-01-25T21:37:21.193071273Z,true,2024-01-25T21:43:31.169754592Z,,2024-01-25T21:37:21.193071273Z,Round 34,2024-01-25T21:37:21.193071273Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.193071273Z,1,2024-01-25T21:37:21.975969496Z,monk,2024-01-25T21:37:21.193071273Z,,,,,,,,,,,,
01HN18WNSC9EW5T1BWAVWP0NFH,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.196364217Z,true,2024-01-25T21:43:18.522840704Z,34,2024-01-25T21:37:21.196364217Z,true,2024-01-25T21:43:27.097387539Z,,2024-01-25T21:37:21.196364217Z,Round 33,2024-01-25T21:37:21.196364217Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.196364217Z,1,2024-01-25T21:37:21.985720129Z,palette,2024-01-25T21:37:21.196364217Z,,,,,,,,,,,,
01HN18WNSE5HK125MX3DHZ7GZQ,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.198326791Z,true,2024-01-25T21:43:31.19357359Z,36,2024-01-25T21:37:21.198326791Z,true,2024-01-25T21:43:40.105186065Z,,2024-01-25T21:37:21.198326791Z,Round 35,2024-01-25T21:37:21.198326791Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.198326791Z,1,2024-01-25T21:37:22.0032765Z,sailor,2024-01-25T21:37:21.198326791Z,,,,,,,,,,,,
01HN18WNSG6FWWM7KKCC56D7XQ,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.200219998Z,true,2024-01-25T21:43:40.128798673Z,37,2024-01-25T21:37:21.200219998Z,true,2024-01-25T21:43:46.270118177Z,,2024-01-25T21:37:21.200219998Z,Round 36,2024-01-25T21:37:21.200219998Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.200219998Z,1,2024-01-25T21:37:22.040005498Z,banana,2024-01-25T21:37:21.200219998Z,,,,,,,,,,,,
01HN18WNSJRFK7BDXVN11CTK1B,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.202112761Z,true,2024-01-25T21:43:46.292943105Z,38,2024-01-25T21:37:21.202112761Z,true,2024-01-25T21:43:52.488547049Z,,2024-01-25T21:37:21.202112761Z,Round 37,2024-01-25T21:37:21.202112761Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.202112761Z,1,2024-01-25T21:37:22.010051399Z,book,2024-01-25T21:37:21.202112761Z,,,,,,,,,,,,
01HN18WNSZETZ6BKHYT2V25B06,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.221117813Z,true,2024-01-25T21:43:52.507382484Z,39,2024-01-25T21:37:21.221117813Z,true,2024-01-25T21:43:56.599750359Z,,2024-01-25T21:37:21.221117813Z,Round 38,2024-01-25T21:37:21.221117813Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.221117813Z,1,2024-01-25T21:37:22.017429833Z,jug,2024-01-25T21:37:21.221117813Z,,,,,,,,,,,,
