id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,playerID,playerIDLastChangedAt,submit,submitLastChangedAt
01HN190TRE7W5T9YTA5VYCZKV0,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:39:37.358814117Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:39:37.358814117Z,01HN18WNNRBH1B2MBPWBD3V6PK,2024-01-25T21:39:37.358814117Z,01HN18WPDAN4V3VVMBCFGYFAQM,2024-01-25T21:39:37.358814117Z,01HN18P9GQ55SW966S2SNPW44G,2024-01-25T21:39:37.358814117Z,true,2024-01-25T21:39:53.46815495Z
01HN190TRQB2B9QVJ7DD0RYVGW,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:39:37.367437382Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:39:37.367437382Z,01HN18WNNRBH1B2MBPWBD3V6PK,2024-01-25T21:39:37.367437382Z,01HN18WPDAN4V3VVMBCFGYFAQM,2024-01-25T21:39:37.367437382Z,01HN18R46VPX0FPB25FHJFP285,2024-01-25T21:39:37.367437382Z,true,2024-01-25T21:39:40.685949087Z
01HN190VZJA4JR63QZ5JZACNA5,01HN18RG2YEZZ7J81WKQN6ZJ73,2024-01-25T21:39:38.610567844Z,01HN18RG36Q7PGRC3258N7RBK0,2024-01-25T21:39:38.610567844Z,01HN18Z7YE21Z62KBXXBHQ969V,2024-01-25T21:39:38.610567844Z,01HN18Z8T8NMXWYAT5C2T6W0AJ,2024-01-25T21:39:38.610567844Z,01HN18S4EPTM6EB1Y739PZB86V,2024-01-25T21:39:38.610567844Z,,
01HN190VZSZVDW6JQ39JZZSFVG,01HN18RG2YEZZ7J81WKQN6ZJ73,2024-01-25T21:39:38.617347521Z,01HN18RG36Q7PGRC3258N7RBK0,2024-01-25T21:39:38.617347521Z,01HN18Z7YE21Z62KBXXBHQ969V,2024-01-25T21:39:38.617347521Z,01HN18Z8T8NMXWYAT5C2T6W0AJ,2024-01-25T21:39:38.617347521Z,01HN18W9N55Z49RAF61J5QQHEN,2024-01-25T21:39:38.617347521Z,true,2024-01-25T21:39:42.743689512Z
01HN19103SP9DZFARPS96FWMN1,01HN18RG2YEZZ7J81WKQN6ZJ73,2024-01-25T21:39:42.84159798Z,01HN18RG36Q7PGRC3258N7RBK0,2024-01-25T21:39:42.84159798Z,01HN18Z7YNJMEVYM8ZEN8X2RCY,2024-01-25T21:39:42.84159798Z,01HN18Z8T2PGZAF6QZWAJJ52SK,2024-01-25T21:39:42.84159798Z,01HN18S4EPTM6EB1Y739PZB86V,2024-01-25T21:39:42.84159798Z,,
01HN19103ZPBT8X8P1Y5R001B1,01HN18RG2YEZZ7J81WKQN6ZJ73,2024-01-25T21:39:42.847896496Z,01HN18RG36Q7PGRC3258N7RBK0,2024-01-25T21:39:42.847896496Z,01HN18Z7YNJMEVYM8ZEN8X2RCY,2024-01-25T21:39:42.847896496Z,01HN18Z8T2PGZAF6QZWAJJ52SK,2024-01-25T21:39:42.847896496Z,01HN18W9N55Z49RAF61J5QQHEN,2024-01-25T21:39:42.847896496Z,true,2024-01-25T21:39:45.141232188Z
01HN1912DRR06C8N3T248YRERB,01HN18RG2YEZZ7J81WKQN6ZJ73,2024-01-25T21:39:45.208313628Z,01HN18RG36Q7PGRC3258N7RBK0,2024-01-25T21:39:45.208313628Z,01HN18Z7YJ1WWEQH54EQA7AJZA,2024-01-25T21:39:45.208313628Z,01HN18Z8TNN5Y22NBQJHF0FS6R,2024-01-25T21:39:45.208313628Z,01HN18S4EPTM6EB1Y739PZB86V,2024-01-25T21:39:45.208313628Z,,
01HN1912DY9G7T0A9HP0GDC49G,01HN18RG2YEZZ7J81WKQN6ZJ73,2024-01-25T21:39:45.214309807Z,01HN18RG36Q7PGRC3258N7RBK0,2024-01-25T21:39:45.214309807Z,01HN18Z7YJ1WWEQH54EQA7AJZA,2024-01-25T21:39:45.214309807Z,01HN18Z8TNN5Y22NBQJHF0FS6R,2024-01-25T21:39:45.214309807Z,01HN18W9N55Z49RAF61J5QQHEN,2024-01-25T21:39:45.214309807Z,true,2024-01-25T21:39:47.860683389Z
01HN19152WB79RACQGFFMWJH25,01HN18RG2YEZZ7J81WKQN6ZJ73,2024-01-25T21:39:47.932188893Z,01HN18RG36Q7PGRC3258N7RBK0,2024-01-25T21:39:47.932188893Z,01HN18Z7YR6XNDM562BC59SC9E,2024-01-25T21:39:47.932188893Z,01HN18Z8V0PXF7EGXE1VZKYZG5,2024-01-25T21:39:47.932188893Z,01HN18S4EPTM6EB1Y739PZB86V,2024-01-25T21:39:47.932188893Z,,
01HN191533RHXJFV825M5E4YVW,01HN18RG2YEZZ7J81WKQN6ZJ73,2024-01-25T21:39:47.939147632Z,01HN18RG36Q7PGRC3258N7RBK0,2024-01-25T21:39:47.939147632Z,01HN18Z7YR6XNDM562BC59SC9E,2024-01-25T21:39:47.939147632Z,01HN18Z8V0PXF7EGXE1VZKYZG5,2024-01-25T21:39:47.939147632Z,01HN18W9N55Z49RAF61J5QQHEN,2024-01-25T21:39:47.939147632Z,true,2024-01-25T21:39:50.727144425Z
01HN1917XAVAKY39YXV4EE39QS,01HN18RG2YEZZ7J81WKQN6ZJ73,2024-01-25T21:39:50.826831624Z,01HN18RG36Q7PGRC3258N7RBK0,2024-01-25T21:39:50.826831624Z,01HN18Z7YG8G69HJZ5A2YJ806W,2024-01-25T21:39:50.826831624Z,01HN18Z8T9S086PGRP2CCC4YK2,2024-01-25T21:39:50.826831624Z,01HN18S4EPTM6EB1Y739PZB86V,2024-01-25T21:39:50.826831624Z,,
01HN1917XKZABDYXMJ5CZ89MKG,01HN18RG2YEZZ7J81WKQN6ZJ73,2024-01-25T21:39:50.835569698Z,01HN18RG36Q7PGRC3258N7RBK0,2024-01-25T21:39:50.835569698Z,01HN18Z7YG8G69HJZ5A2YJ806W,2024-01-25T21:39:50.835569698Z,01HN18Z8T9S086PGRP2CCC4YK2,2024-01-25T21:39:50.835569698Z,01HN18W9N55Z49RAF61J5QQHEN,2024-01-25T21:39:50.835569698Z,true,2024-01-25T21:39:53.077703247Z
01HN191A60HFVMH90MTX5MRC6Q,01HN18RG2YEZZ7J81WKQN6ZJ73,2024-01-25T21:39:53.152685121Z,01HN18RG36Q7PGRC3258N7RBK0,2024-01-25T21:39:53.152685121Z,01HN18Z7YZKJ2VTYVWZD5D31V1,2024-01-25T21:39:53.152685121Z,01HN18Z8V70GZ5NSFPGPC691JD,2024-01-25T21:39:53.152685121Z,01HN18S4EPTM6EB1Y739PZB86V,2024-01-25T21:39:53.152685121Z,,
