id,name,nameLastChangedAt,duration,durationLastChangedAt,gameID,gameIDLastChangedAt,started,startedLastChangedAt,batchID,batchIDLastChangedAt,roundID,roundIDLastChangedAt,timerID,timerIDLastChangedAt,index,indexLastChangedAt,start,startLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,status,statusLastChangedAt
01HN18WPGRA0QMMV2KTXGXGKY3,recall,2024-01-25T21:37:21.944580788Z,10000,2024-01-25T21:37:21.944580788Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.944580788Z,true,2024-01-25T21:42:32.941865034Z,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.944580788Z,01HN18WNRPDG0AQNS1ADYQA9P9,2024-01-25T21:37:21.944580788Z,01HN18WP0CXDT08JYPF2YDZV6E,2024-01-25T21:37:21.944580788Z,0,2024-01-25T21:37:21.944580788Z,true,2024-01-25T21:42:32.893115099Z,true,2024-01-25T21:42:40.21100922Z,,,,
01HN18WPGZV0XS48ZVQABFCZ4F,recall,2024-01-25T21:37:21.951617343Z,10000,2024-01-25T21:37:21.951617343Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.951617343Z,true,2024-01-25T21:42:50.037480507Z,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.951617343Z,01HN18WNRSDT4D7JRZYME436GY,2024-01-25T21:37:21.951617343Z,01HN18WP0CXDT08JYPF92FTRCX,2024-01-25T21:37:21.951617343Z,0,2024-01-25T21:37:21.951617343Z,true,2024-01-25T21:42:49.980928832Z,true,2024-01-25T21:42:55.394855324Z,,,,
01HN18WPH9VH4AK39QAW0SRPWW,recall,2024-01-25T21:37:21.961825219Z,10000,2024-01-25T21:37:21.961825219Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.961825219Z,true,2024-01-25T21:42:26.586734651Z,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.961825219Z,01HN18WNRG0J7AEKG1K7KHNVRC,2024-01-25T21:37:21.961825219Z,01HN18WP08AA8MK3T4GW3RCR9S,2024-01-25T21:37:21.961825219Z,0,2024-01-25T21:37:21.961825219Z,true,2024-01-25T21:42:26.538237706Z,true,2024-01-25T21:42:32.810441872Z,,,,
01HN18WPHAWZ903KVAH17208SK,recall,2024-01-25T21:37:21.962141601Z,10000,2024-01-25T21:37:21.962141601Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.962141601Z,true,2024-01-25T21:42:55.516426867Z,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.962141601Z,01HN18WNRYWK70WKK4S4JV98AS,2024-01-25T21:37:21.962141601Z,01HN18WP0JK1ESK3EQH7Y1AKVR,2024-01-25T21:37:21.962141601Z,0,2024-01-25T21:37:21.962141601Z,true,2024-01-25T21:42:55.476606406Z,true,2024-01-25T21:43:01.892466528Z,,,,
01HN18WPHMVTW597W3XZ5E5HF3,recall,2024-01-25T21:37:21.972081458Z,10000,2024-01-25T21:37:21.972081458Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.972081458Z,true,2024-01-25T21:43:08.556550645Z,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.972081458Z,01HN18WNS5EDCB1F9RTXFRTMRV,2024-01-25T21:37:21.972081458Z,01HN18WP0P8C3M9HRJHFQG09P0,2024-01-25T21:37:21.972081458Z,0,2024-01-25T21:37:21.972081458Z,true,2024-01-25T21:43:08.514907684Z,true,2024-01-25T21:43:13.416212688Z,,,,
01HN18WPHRJ2T7F1ZBR970WDC7,recall,2024-01-25T21:37:21.97629195Z,10000,2024-01-25T21:37:21.97629195Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.97629195Z,true,2024-01-25T21:43:27.213181891Z,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.97629195Z,01HN18WNS9E1QVRM887KSXJTZT,2024-01-25T21:37:21.97629195Z,01HN18WP0Q8M3M35ZC09D50RS5,2024-01-25T21:37:21.97629195Z,0,2024-01-25T21:37:21.97629195Z,true,2024-01-25T21:43:27.1673251Z,true,2024-01-25T21:43:31.146835082Z,,,,
01HN18WPHY9NT0HT10YQE37Q4T,recall,2024-01-25T21:37:21.982207758Z,10000,2024-01-25T21:37:21.982207758Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.982207758Z,true,2024-01-25T21:43:18.62609801Z,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.982207758Z,01HN18WNSC9EW5T1BWAVWP0NFH,2024-01-25T21:37:21.982207758Z,01HN18WP0VYPXA663XBS2ZSVKZ,2024-01-25T21:37:21.982207758Z,0,2024-01-25T21:37:21.982207758Z,true,2024-01-25T21:43:18.575418178Z,true,2024-01-25T21:43:27.076724735Z,,,,
01HN18WPJE11KCQ2YPYH11AA3B,recall,2024-01-25T21:37:21.99803328Z,10000,2024-01-25T21:37:21.99803328Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.99803328Z,true,2024-01-25T21:43:46.417909133Z,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.99803328Z,01HN18WNSJRFK7BDXVN11CTK1B,2024-01-25T21:37:21.99803328Z,01HN18WP20D5V21RMQE6WTK983,2024-01-25T21:37:21.99803328Z,0,2024-01-25T21:37:21.99803328Z,true,2024-01-25T21:43:46.345721049Z,true,2024-01-25T21:43:52.454996529Z,,,,
01HN18WPJE11KCQ2YPZ2CF9DSY,recall,2024-01-25T21:37:21.998590747Z,10000,2024-01-25T21:37:21.998590747Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.998590747Z,true,2024-01-25T21:43:31.293598201Z,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.998590747Z,01HN18WNSE5HK125MX3DHZ7GZQ,2024-01-25T21:37:21.998590747Z,01HN18WP1NY8P79RGT2NZ3ED0M,2024-01-25T21:37:21.998590747Z,0,2024-01-25T21:37:21.998590747Z,true,2024-01-25T21:43:31.24461591Z,true,2024-01-25T21:43:40.07798957Z,,,,
01HN18WPJMYGYEKWZ85NAXSRH8,recall,2024-01-25T21:37:22.004454156Z,10000,2024-01-25T21:37:22.004454156Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:22.004454156Z,true,2024-01-25T21:43:52.623392577Z,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:22.004454156Z,01HN18WNSZETZ6BKHYT2V25B06,2024-01-25T21:37:22.004454156Z,01HN18WP2D3FT84PHRW0R1NYMS,2024-01-25T21:37:22.004454156Z,0,2024-01-25T21:37:22.004454156Z,true,2024-01-25T21:43:52.567995009Z,true,2024-01-25T21:43:56.580146476Z,,,,
